अपने आप|आफै
सलाह|सल्लाह
इस|यस
पेशाब|पिशाब
नाम|नाम
किट|किरा
उंगली|औला
लोग|मान्छे
मैग्नेशियम|म्याग्नेशियम
मैग्नीशियम|म्याग्नेशियम
संपत्ति|सम्पत्ति
सिद्धांत|सिद्धान्त
इकाई|एकाइ
शराब|रक्सी
 दवा| दबाइ
बाजार|बजार
रास्त|बाटो
चमड़े|छाला
महीन|महीना
बहन|बहिनी
ग्रंथे|ग्रंथे
हकीम|वैद्य
सिद्वांत|सिद्वांत
नार्थमैन|नर्थम्यान
लंदन|लन्डन
पौधा|बिरुवा 
बैरन|मुखिया
इंग्लैंड|इङ्गल्याण्ड
बिल्लि|बिरालो
सिंह|सिंह
क्षेत्र|क्षेत्र
उद्यान|उद्यान
प्रतीक|प्रतीक
गतिविधि|गतिविधि
प्रजाति|प्रजाति
द्रव|द्रव
कण|कण
 मां | आमा 
सप्ताह|सप्ताह
संक्रमण|संक्रमण
लक्षण|लक्षण
मरीज़|विरामी
मरीज|विरामी
विकासक|विकासक
जीवाणु|जीवाणु
बीमारि|रोग
वायरस|भाइरस
फुंसी|बिबिरा
मेजबान|पाहुना
उत्पाद|उत्पादन
एजेंट|एजेन्ट
इलाज|उपचार
वानर|वाँदर
कैंसर|क्यान्सर
बचपन|बाल्यकाल 
कंपनि|कम्पनी
 सजा| सजाय 
बंधु|बंधु
कास्त्रो|कास्ट्रो
मुलाकात|भेट
क्युबाई|क्युबाई
गर्मि|गर्मि
शहर|शहर
सूत्र|सूत्र
प्रतिनिधि|प्रतिनिधि
बल|बल
नियुक्ति|नियुक्ति
सलाहकार|सलाहकार
मिसाइल|मिसाइल
विरोधि|विरोधि
बदलाव|बदलाव
सैनिक|सैनिक
पैमाने|मात्रा
विमान|विमान
टिप्पणि|टिप्पणि
व्यक्तित्व|व्यक्तित्व
चरित्र|चरित्र
अफवाह|अफवाह
अटकल|अडकल
चीज|चीज
ख़बर|खबर
राष्ट्रपति|राष्ट्रपति
ईसाइ|ईसाइ
आलोचक|आलोचक
विरोधाभास|विरोधाभास
पक्षि|पंक्षि
प्रजाति|प्रजाति
विशेषता|विशेषता
वीडियो|भिडियो
तोता|सुगा
प्रजाति|प्रजाति
हवा|हावा
महाद्वीप|महाद्वीप
मादा|पोथी
रणनीति|रणनीति
मांसपेशि|मांसपेशि
ग्रंथि|ग्रंथि
चिडिया|चरा
नियम|नियम
चक्र|चक्र
प्रतिमा|प्रतिमा
कोहनि|कुहिना
पैर|पैर
लाठि|लठ्ठि
सदी|सताब्दी
मुक्केबाज़|मुक्केबाज
मुक्केबाज|मुक्केबाज
पर्वत|पर्वत
लडाइ|लडाइ
अंगुलि|औंला
कलाइ|नाडि
मिनट|मिनेट
चेतावनि|चेतावनि
दस्ताने|पन्जा
दस्ताना|पन्जा
सीने|छाती
हाथ|हात
सावधानि|सावधानि
 पैर | खुट्टा 
शक्ति|शक्ति
सहभागि|सहभागि
कालोनि|कोलोनि
राज्य|राज्य
सरदार|सरदार
हादसे|घटना
हादसा|घटना
संधि|सन्धि
जनरलिज्म|जनरालिजम
पक्ष|पक्ष
हथियार|हथियार
तिथि|तिथि
जापानि|जापानि
सेना|सेना
प्रतिज्ञा|प्रतिज्ञा
अधिकारि|अधिकारी
ताकत|तागत
सदस्य|सदस्य
सहयोगि|सहयोगि
नाजि|नाजि
जाति|जाति
परिस्थिति|परिस्थिति
कडि|कडि
सन्तान|सन्तान
पौध|बिरुवा
जन्तु|जन्तु
मिट्टी|माटो
वर्ष|वर्ष
पृथ्वी|पृथ्वी
परमाणु|परमाणु
धातु|धातु
वनस्पति|वनस्पति
प्राणि|प्राणि
पौधा|बिरुवा
पेड|रुख
जनावर|जनावर
प्रवासि|प्रवासि
जंतु|जन्तु
टेलीविजन|टेलीभिजन
योगदान|योगदान
गैस|ग्याँस
किताब|किताब
बिज़ली|बिजुली
बिजली|बिजुली
मेले|मेला
बेटा|छोरा
बेटी|छोरी
बेटे|छोरा
कैथोलिक|क्याथोलिक
बिनती|बिन्ती
 कोने| कुना
महिने|महिना
स्वयंसेवक|स्वयंसेवक
फिल्म|फिलिम
यवन|यवन
जीव|जीव
विधि|विधि
प्रत्यंग|प्रत्यंग
मशीन|मिसिन
रोग|रोग
देह|शरिर
संबंध|सम्बन्ध
दुष्प्रभाव|दुष्प्रभाव
पुरुष|पुरुष
त्वचा|छाला
जीभ|जीब्रो
पहलु|पहलु
नकद|नगद
उधार|उधारो
अंत|अन्त
डॉलर|डलर
कर्ज|कर्जा
सूअर|सुँगुर
मांस|मासु
सलामि|सलामि
मुर्गे|कुखुरो 
मुर्गी|कुखुरा
मुर्गा|कुखुरा
मिर्च|खुर्सानी
इस्तेमाल|प्रयोग
पैर|खुट्टा
घंटों|घन्टा
घंटे|घन्टा
बर्फ|बरफ
टुकडे|टुक्रा
टुकडा|टुक्रा
अध्ययन|अध्ययन
नार्वे|नर्वे
औरत|आइमाइ
सर्दि|जाडो
कैल्शियम|क्याल्सियम
नीदरलैंड्स|नेदरल्यान्ड्स
पुर्तगाल|पोर्चुगल
बछडे|बछेडो
पुत्र|छोरा
क्लब|क्लब
शेर|सिंह
मामले|मामला
अंग्रेज|अंग्रेज
शिकायत|शिकायत
मिट्टी|माटो
पास|नजिकै
केंद्र|केन्द्र
घाटि|घाटि
नदि|नदि
चट्टान|चट्टान
हाथी|हात्ती
शेर|सिंह
हिरण|हरिण
धारा|धारा
मगरमच्छ|गोहि
जानवर|जनावर
कॉलेज|कलेज
कमरे|कोठा
इंजन|इन्जिन
कॉरपोरेशन|करपोरेशन
